animeTitle	b'Onegai! Samia Don'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	296
animeRank	
animePopularity	
animeDescription	b'In england, in the mid-80s, three kids encouter the last genie of the sands, who can grant one, and only one wish per day. But the magic does not last, at the sunset, everything disappears. Each episode follows a typical day where the three kids are wishing for every kind of wacky stuff that usually ends in a mess at the end.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Samia Don']
animeVoices	[b'\nKawakubo, Kiyoshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMoriwaki, Makoto\n\nEpisode Director\n\n', b'\nMochizuki, Tomomi\n\nEpisode Director\n\n', b'\nSuda, Yumiko\n\nEpisode Director\n\n', b'\nIuchi, Shuji\n\nEpisode Director\n\n']
