animeTitle	b'Zipang'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.5
animeUsers	6163
animeRank	
animePopularity	
animeDescription	"b""Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942\xe2\x80\x94The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined.\n\n(Source: ANN)"""
animeRelated	[b'Zipang']
animeCharacters	[b'Kusaka, Takumi', b'Kadomatsu, Yosuke', b'Umezu, Sabure', b'Yamamoto, Isoroku', b'Kikuchi, Masayuki', b'Ishiwara, Kanji', b'Tsuda, Kazuma', b'Taki, Eiichirou', b'Momoi, Sachiko', b'Oguri, Kouhei']
animeVoices	[b'\nTouchi, Hiroki\nJapanese\n', b'\nInada, Tetsu\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nTobayama, Bunmei\nJapanese\n', b'\nHoshino, Takanori\nJapanese\n', b'\nTatsuta, Naoki\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nIshizuka, Unshou\nJapanese\n', b'\nIseki, Yoshiko\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFuruhashi, Kazuhiro\n\nDirector, Script\n\n', b'\nHiramitsu, Takuya\n\nSound Director\n\n', b'\nMatsushita, Yukihiro\n\nEpisode Director, Storyboard\n\n', b'\nOkamoto, Hideki\n\nEpisode Director\n\n']
