animeTitle	Osomatsu-san: Hajimaru Hajimari
animeType	Special
animeNumEpisode	Unknown
releaseDate	2018-08-02 00:00:00
endDate	
animeNumMembers	940
animeScore	
animeUsers	
animeRank	12641
animePopularity	11304
animeDescription	A Daiichi (pachinko company) x Osomatsu-san fan event will be held on August 2nd. Character goods, attractions, mascots, and a mini-anime where the cast recreates classic Japanese tales. In particular: Tsuru no Ongaeshi, Urashima Tarou, Kaguya-hime, Saru Kani Gassen, Kintarou, and Momotarou.
animeRelated	['Osomatsu-san 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
