animeTitle	b'Joker: Marginal City'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	547
animeRank	
animePopularity	
animeDescription	b'OVA based on the Joker manga by artist Katsumi Michihara (\xe9\x81\x93\xe5\x8e\x9f\xe3\x81\x8b\xe3\x81\xa4\xe3\x81\xbf) and writer Yuu Maki (\xe9\xba\xbb\xe5\x9f\x8e\xe3\x82\x86\xe3\x81\x86).\n\nJoker is a genetically engineered shape-and-gender-shifter, who created as part of a Special Police Task Force and fights crime of all kinds, but he/she also fits in a little romance around the edges.\n\n(Source: AniDB)'
animeRelated	[b'Joker Series']
animeCharacters	[b'Rikudou, Rin', b'Joker', b'Saki', b'Narrator', b'Barley', b'Dr. Bayfarm']
animeVoices	[b'\nMatsumoto, Yasunori\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nTakano, Urara\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n', b'\nSawaki, Ikuya\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamasaki, Osamu\n\nDirector\n\n', b'\nWatanabe, Junichi\n\nScript\n\n', b'\nIshiyama, Takaaki\n\nStoryboard\n\n', b'\nTomizawa, Michie\n\nTheme Song Performance, Inserted Song Performance\n\n']
