animeTitle	Code:Breaker OVA
animeType	OVA
animeNumEpisode	3
releaseDate	2012-12-17 00:00:00
endDate	2013-04-17 00:00:00
animeNumMembers	30092
animeScore	6.72
animeUsers	12372
animeRank	4987
animePopularity	3288
animeDescription	"A three-volume OVA of Code:Breaker.  Each volume will be bundled with volumes 22-24 of the manga, respectively. 

Subtitles and release dates:
 Vol.1: ""code:extra 1,2,3 & Plus 1"", Dec 17, 2012
 Vol.2: ""code:100 & extra HANAMI & Plus 2"", Feb 15, 2013
 Vol.3: ""code:4koma Special Theater"", Apr 17, 2013"
animeRelated	['Code:Breaker']
animeCharacters	['Oogami, Rei', 'Sakurakouji, Sakura', 'Tenpouin, Yuuki', 'Fujiwara, Toki', 'Hitomi', 'Heike, Masaomi', 'Hachiouji, Rui', 'Nyanmaru', 'Emperor', 'Takatsu, Aoba']
animeVoices	['Okamoto, Nobuhiko', 'Hikasa, Youko', 'Toyonaga, Toshiyuki', 'Suzumura, Kenichi', 'Miki, Shinichiro', 'Kimura, Subaru', 'Saiga, Mitsuki', 'Itou, Kanae', 'Sendai, Eri']
animeStaff	[['Noshitani, Mitsutaka', 'Episode Director'], ['Sakoi, Masayuki', 'Storyboard'], ['Suzumura, Kenichi', 'Theme Song Performance'], ['Itou, Kanae', 'Theme Song Performance']]
