animeTitle	Kuni-chan no Ikka Ranran
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16701
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Yot-chan', 'Brother', 'Naoko', 'Father', 'Mother']
animeVoices	['Han, Keiko', 'Chiko', 'Sakuma, Rei', 'Ushiyama, Shigeru', 'Doi, Mika']
animeStaff	[['Ishiguro, Noboru', 'Director'], ['Miyazaki, Akira', 'Script'], ['Ootani, Kazuo', 'Music'], ['Tsutsui, Noriko', 'Art Director']]
