animeTitle	Gyokou no Nikuko-chan
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	8247
animeDescription	"The story centers on the growth and paths in life of Nikuko and Kikuko, a mother and daughter who lives on a boat.

(Source: MAL News)"
animeRelated	['Gyokou no Nikuko-chan']
animeCharacters	['Kikuko', 'Nikuko-chan', 'Sassan', 'Maria', 'Daricia', 'Miu', 'Ninomiya']
animeVoices	['Cocomi', 'Ootake, Shinobu', 'Nakamura, Ikuji', 'Ishii, Izumi', 'Deluxe, Matsuko', 'Yoshioka, Riho', 'Hanae, Natsuki']
animeStaff	[['Akashiya, Sanma', 'Producer, Planning'], ['Watanabe, Ayumu', 'Director'], ['Konishi, Kenichi', 'Character Design, Chief Animation Director'], ['Ooshima, Satomi', 'Screenplay']]
