animeTitle	b'Youjo Senki II'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Second season of Youjo Senki.'
animeRelated	[b'Youjo Senki', b'Youjo Senki Movie']
animeCharacters	[b'Degurechaff, Tanya', b'Serebryakova, Viktoriya Ivanovna', b'von Zettour, Hans', b'von Lergen, Erich', b'von Rudersdorf, Kurt']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUemura, Yutaka\n\nDirector\n\n', b'\nIhara, Kenta\n\nScript\n\n', b'\nZen, Carlo\n\nOriginal Creator\n\n', b'\nShinotsuki, Shinobu\n\nOriginal Character Design\n\n']
