animeTitle	Tottori U-turn
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.92
animeUsers	123
animeRank	
animePopularity	14673
animeDescription	"In the video, the swimmer leaves Tottori to compete, but does a ""Tottori U-turn"" to return to his home prefecture and find a job. To aid in the process, the ad points viewers towards a job placement agency.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
