animeTitle	Aozora Under Girls!
animeType	ONA
animeNumEpisode	2
releaseDate	2017-05-29 00:00:00
endDate	2018-08-28 00:00:00
animeNumMembers	467
animeScore	5.56
animeUsers	171
animeRank	10168
animePopularity	13136
animeDescription	"The opening animation for the mobile game Aozora Under Girls!, the game is expected to launch some time later in 2017.

The game according to Square Enix will be a Youth x Idol x Battle game which means you have to take care the girls' everyday life (21 of them to select from), with their idol career and you have to do live stage battles against the other team like in the Bandai's The iDOLM@STER games. The game discontinued service on January 31, 2019

(Source: senpaigamer.com)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
