animeTitle	Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	5379
animeRank	
animePopularity	4814
animeDescription	Arslan Senki (TV): Dakkan no Yaiba retells the events of the series' first 13 episodes, summarizing the events that transpired from Arslan's escape with Daryun, to their time in the Peshawar Citadel.
animeRelated	['Arslan Senki (TV)']
animeCharacters	['Arslan', 'Daryun', 'Narsus', 'Gieve', 'Falangies', 'Silver Mask', 'Elam', 'Etoile', 'Andragoras III', 'Alfreed']
animeVoices	['Kobayashi, Yuusuke', 'Hosoya, Yoshimasa', 'Namikawa, Daisuke', 'KENN', 'Sakamoto, Maaya', 'Kaji, Yuki', 'Hanae, Natsuki', 'Uchiyama, Yumi', 'Sugou, Takayuki', 'Numakura, Manami']
animeStaff	[['Abe, Noriyuki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kajiura, Yuki', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['Kalafina', 'Theme Song Performance']]
