animeTitle	Komachi to Dangorou
animeType	ONA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	236
animeRank	
animePopularity	12535
animeDescription	Niigata city's publicity mascot characters, Komachi Hanano and Dangorou Sasa, search for the mysterious stone that was stolen after it had fallen from the skies.
animeRelated	[]
animeCharacters	['Sasa, Dangorou', 'Hanano, Komachi', 'Ryuuto', 'Lip']
animeVoices	['Nomizu, Iori', 'Nanri, Yuuka', 'Sasakura, Yutaka', 'Nanase, Ami']
animeStaff	[['Maruyama, Masao', 'Producer'], ['Abe, Hisashi', 'Director, Character Design'], ['Ishida, Yoko', 'Theme Song Lyrics, Theme Song Performance']]
