animeTitle	Ijiwaru Baasan
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13983
animeDescription	"Based on a 1966 manga by Sazae-san creator Hasegawa Machiko.

This is another slice-of-everyday-life tale, centered around a spiteful old woman who causes trouble for neighbours with her constant bumbling and grumbling.

(Source: ANN)"
animeRelated	['Ijiwaru Baasan', 'Ijiwaru Baasan (1996)']
animeCharacters	['Ishi']
animeVoices	[]
animeStaff	[['Hasegawa, Machiko', 'Original Creator'], ['Kawamoto, Shouhei', 'Art Director']]
