animeTitle	b'Higashi no Eden Movie I: The King of Eden'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	90810
animeRank	
animePopularity	
animeDescription	"b'After preventing Japan\'s destruction, Akira Takizawa made one final request to become the ""King of Japan,"" before he erased his memories once again and disappeared. Leaving Saki Morimi with his cellphone, the only clue she has in regards to Akira\'s whereabouts is the message, ""I\'ll be waiting where our journey started.""\n\nSix months later, rumors have spread about Akira, and Saki\'s search leads her to New York City. However, Saki is not the only person who goes to investigate\xe2\x80\x94with several billion yen burning a hole in their pockets and a challenge to ""save Japan,"" the remaining Sele\xc3\xa7\xc3\xa3o are not far behind. Some are willing to help Akira achieve his goals, but a few are making dangerous moves in order to eliminate him and achieve their own picture of a better Japan. With rising stakes and new revelations, the game is still on.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Shousetsu Higashi no Eden Gekijouban', b'Higashi no Eden', b'Higashi no Eden Movie II: Paradise Lost']
animeCharacters	[b'Takizawa, Akira', b'Morimi, Saki', b'Shiratori, Kuroha', b'Mameshiba', b'Katsuhara, Mikuru', b'Juiz', b'Itazu, Yutaka', b'Hirasawa, Kazuomi', b'Ohsugi, Satoshi', b'O-nee']
animeVoices	[b'\nKimura, Ryouhei\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nIgarashi, Rei\nJapanese\n', b'\nSaitou, Ayaka\nJapanese\n', b'\nTamagawa, Sakiko\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nKawahara, Motoyuki\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nSaito, Kimiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshii, Tomohiko\n\nProducer\n\n', b'\nKamiyama, Kenji\n\nDirector, Storyboard, Original Creator, Screenplay\n\n', b'\nWakabayashi, Kazuhiro\n\nSound Director\n\n', b'\nIwasaki, Tarou\n\nEpisode Director\n\n']
