animeTitle	b'Kandagawa Jet Girls Recap'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.33
animeUsers	1020
animeRank	
animePopularity	
animeDescription	b'Recap of the first four episodes of Kandagawa Jet Girls.'
animeRelated	[b'Kandagawa Jet Girls']
animeCharacters	"[b'Namiki, Rin', b'Aoi, Misa', b'Narrator', b""Rin's Father""]"
animeVoices	[b'\nHidaka, Noriko\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n']
animeStaff	[]
