animeTitle	Kero Kero Chime
animeType	TV
animeNumEpisode	30
releaseDate	1997-03-06 00:00:00
endDate	1997-09-25 00:00:00
animeNumMembers	
animeScore	6.46
animeUsers	235
animeRank	
animePopularity	10848
animeDescription	"Aoi, a regular boy, is cused with a spell that turns him into a frog whenever he gets wet. He is sent to another world with a frog kingdom to find the princess to undo the spell. When he finds out that she doesn't know how to lift the curse, they set out to find the spell that will. Along the way they meet many interesting creatures, come accross many dangers, and make many new friends. 

(Source: ANN)"
animeRelated	['Kero Kero Chime']
animeCharacters	['Mimori', 'Aoi', 'Cereal', 'Niina', 'Shouko', 'Leap', 'Makaeru']
animeVoices	['Higuchi, Chieko', 'Namikawa, Daisuke', 'Namiki, Noriko', 'Sano, Mizuki']
animeStaff	[['Koyama, Yoshitaka', 'Director, Episode Director, Storyboard'], ['Tanaka, Kazuya', 'Sound Director'], ['Moriwaki, Makoto', 'Episode Director, Storyboard'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard']]
