animeTitle	Getsuyoubi no Tawawa 2
animeType	ONA
animeNumEpisode	12
releaseDate	2021-09-20 00:00:00
endDate	
animeNumMembers	27049
animeScore	6.82
animeUsers	4737
animeRank	4519
animePopularity	3460
animeDescription	"The anime follows a salaryman who has a chance meeting with a girl named Ai on the train. They begin to meet every Monday on the train, with the man serving as her bodyguard on the crowded commute while they chat.

(Source: ANN)"
animeRelated	['Getsuyoubi no Tawawa', 'Getsuyoubi no Tawawa 2 Special']
animeCharacters	['Ai-chan', 'Kouhai-chan', 'Oniisan', 'Senpai', 'Maegami-chan', 'Volleyball-bu-chan', 'Sensei', 'Imouto-chan', 'Okaasan']
animeVoices	['Harada, Sayaka', 'Kayano, Ai', 'Majima, Junji', 'Takumi, Yasuaki', 'Takahashi, Rie', 'Ishigami, Shizuka', 'Yanagita, Junichi', 'Iguchi, Yuka', 'Inoue, Kikuko']
animeStaff	[['Ogawa, Yuuki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kamoshida, Hajime', 'Series Composition'], ['Himura, Kiseki', 'Original Creator']]
