animeTitle	b'Sola Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	8132
animeRank	
animePopularity	
animeDescription	b'DVD-exclusive specials. The first takes place between episode 4 and 5 of the main series and and the second is a prologue to the series leading up to the events on the last day before the beginning of episode 1.\n\n(Source: AniDB)'
animeRelated	[b'Sola']
animeCharacters	[b'Shihou, Matsuri', b'Morimiya, Aono', b'Morimiya, Yorito', b'Kamikawa, Mayuko', b'Ishizuki, Koyori', b'Ishizuki, Mana', b'Tsujidou, Takeshi', b'Sakura, Sae', b'Uehara, Touko', b'Mizuguchi, Chisato']
animeVoices	[b'\nNoto, Mamiko\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nKaneda, Tomoko\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nHonda, Youko\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nOno, Ryouko\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKobayashi, Tomoki\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nHisaya, Naoki\n\nScript, Original Creator\n\n', b'\nCeui\n\nTheme Song Performance\n\n']
