animeTitle	b'Uju Heukgisa'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.5
animeUsers	381
animeRank	
animePopularity	
animeDescription	b'There exists the Cosmos Warriors, a team tasked with the duty of protecting freedom, justice, and peace of the universe. When the Master of the Cosmos Warriors was killed onboard a traveling spaceship and the rest of the passengers were kidnapped by the sinister Green People, Captain Leo soon uncovers a malicious plan that would put the fate of the people of Earth on the balance.'
animeRelated	[]
animeCharacters	[b'Leo, Captain']
animeVoices	[]
animeStaff	[]
