animeTitle	b'Eromanga-sensei OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	48212
animeRank	
animePopularity	
animeDescription	"b""Yamada Elf's Love Song\n\nAs a novelist with works getting adapted into anime, Elf Yamada holds an event to celebrate her success and to thank everyone who had supported her. With her mother attending, she becomes more excited. However, just as her mother arrives, she tells Elf to go back home so that she can find a suitable husband. Elf, who harbors feelings for Masamune Izumi, chooses to say no\xe2\x80\xa6\n\nCooked Meals of Pure Love\n\nWinter has come, and it's freezing outside. With her brother Masamune catching a cold, Sagiri Izumi decides to nurse her brother into good health by stepping outside the comfort of her room and doing the housework herself. \n\n[Written by MAL Rewrite]"""
animeRelated	[b'Eromanga-sensei']
animeCharacters	"[b'Izumi, Sagiri', b'Izumi, Masamune', b'Yamada, Elf', b'Jinno, Megumi', b'Senju, Muramasa', b'Takasago, Tomoe', b""Sagiri's Mother"", b'Yamada, Chris']"
animeVoices	[b'\nFujita, Akane\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamaguchi, Takayuki\n\nSound Director\n\n', b'\nFushimi, Tsukasa\n\nOriginal Creator\n\n', b'\nKanzaki, Hiro\n\nOriginal Character Design\n\n', b'\nNagasawa, Shouko\n\nKey Animation, Animation Director\n\n']
