animeTitle	100-man-nen Chikyuu no Tabi: Bander Book
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	471
animeRank	
animePopularity	10473
animeDescription	"To escape the explosion of their ship caused by a terrorist attack, the parents of a young baby put him inside an escape pod and send him out before dying. The pod ends up on a planet inhabited by beings able to transform themselves into animals by using a special ring. The young baby is rescued by the royal family, and grows up to become the prince.

When the planet is attacked by pirates, he will be brought by force to Earth and discover everything about his own origins, and forgotten brother.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Hazama, Kuroo', 'Mimuru', 'Bander', 'Hosuke, Sharaku', 'Hige Oyaji', 'Ham Egg', 'Maid Nine', 'King Zobi', 'Dracula, Hakushaku', 'Führer Vitor']
animeVoices	['Ibu, Masatou', 'Koyama, Mami', 'Mizushima, Yuu', 'Kimotsuki, Kaneta', 'Katsuta, Hisashi', 'Nagai, Ichiro', 'Asai, Yoshiko', 'Oohira, Tooru', 'Chiba, Kouichi', 'Kaji, Tetsuya']
animeStaff	[['Yoshikawa, Akira', 'Producer'], ['Tezuka, Osamu', 'Director, Original Creator'], ['Oono, Yuuji', 'Music'], ['Sakaguchi, Hisashi', 'Chief Animation Director, Character Design']]
