animeTitle	FunaQ: Funassyi to Soutai-kun
animeType	ONA
animeNumEpisode	14
releaseDate	2013-05-12 00:00:00
endDate	2014-03-31 00:00:00
animeNumMembers	132
animeScore	
animeUsers	
animeRank	15630
animePopularity	17307
animeDescription	A variety talk show done through CGI animation of Funassyi (mascot character of the Tokyo suburb Funabashi) and Soutai-kun (mascot hero/disaster prevention character of the Tokyo ward Nerima).
animeRelated	['Funassyi no Funafunafuna Biyori']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
