animeTitle	Chinmoku no Kantai
animeType	OVA
animeNumEpisode	3
releaseDate	1995-12-18 00:00:00
endDate	1998-01-25 00:00:00
animeNumMembers	
animeScore	6.32
animeUsers	653
animeRank	
animePopularity	9406
animeDescription	"During the cold war, the Japan Maritime Self-Defense Force jointly developed a nuclear submarine with the United States Navy. On its maiden voyage, the captain of the submarine declares the submarine to be an independent state, ""Yamato."""
animeRelated	['Chinmoku no Kantai']
animeCharacters	['Gorou, Watase', 'Hiroshima', 'Mizoguchi', 'Tadokoro, Shin', 'Hayami, Kenji', 'Takegami, Toshio', 'Kaeda, Shirou', 'Kaibara, Wataru', 'Ryan', 'Bennett']
animeVoices	['Shioya, Yoku', 'Ootsuka, Akio', 'Naka, Hiroshi', 'Ogata, Kenichi', 'Tobita, Nobuo', 'Saka, Osamu', 'Tsukayama, Masane', 'Wakamoto, Norio', 'Tokumaru, Kan', 'Ueda, Toshiya']
animeStaff	[['Takahashi, Ryousuke', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Daichi, Akitarou', 'Storyboard'], ['Kakudou, Hiroyuki', 'Storyboard']]
