animeTitle	b'First Squad'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.81
animeUsers	3667
animeRank	
animePopularity	
animeDescription	b'Music video for the song First Squad by Legalize, created by Studio 4\xc2\xb0C. '
animeRelated	[b'First Squad: The Moment of Truth']
animeCharacters	[b'Ruslanova, Nadya', b'Valya', b'Leo', b'Zina', b'Marat']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKanai, Jirou\n\nKey Animation\n\n']
