animeTitle	Kenzen Robo Daimidaler
animeType	TV
animeNumEpisode	12
releaseDate	2014-04-05 00:00:00
endDate	2014-06-21 00:00:00
animeNumMembers	61710
animeScore	6.15
animeUsers	20719
animeRank	7947
animePopularity	2224
animeDescription	"Battles continue between ""Penguin Empire"", the mysterious life form which arrived on earth all of a sudden, and ""Beauty Salon Prince"", the secret anti-Penguin organization. In order to fight Penguin Empire's gigantic ""Penguin Robot"", Beauty Salon Prince has developed their ultimate weapon, ""Daimidaler"", and is now looking for the pilot. They choose Koichi Madanbashi, a hot-blooded high school boy who is mad about big boobs, because he is the factor of ""Hi-ERo particles"", the source of unknown energy.

(Source: Showgate)"
animeRelated	['Kenzen Robo Daimidaler', 'Kenzen Robo Daimidaler Specials']
animeCharacters	['Sonan, Kyouko', 'Madanbashi, Kouichi', 'Ameku, Shouma', 'Kiyuna, Kiriko', 'Seaberry, Rikantz', 'Nelson', 'Majikina, Soriko', 'Penguin Emperor', 'Dennis', 'Henry']
animeVoices	['Hikasa, Youko', 'Shimazaki, Nobunaga', 'Hanae, Natsuki', 'Ishigami, Shizuka', 'Suzaki, Aya', 'Fukushima, Jun', 'Kido, Ibuki', 'Hori, Hideyuki', 'Asanuma, Shintaro', 'Nakamura, Yuuichi']
animeStaff	[['Yanagisawa, Tetsuya', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Nakano, You', 'Storyboard'], ['Ohashi, Ayaka', 'Theme Song Performance']]
