animeTitle	The iDOLM@STER Cinderella Girls 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	2015-07-18 00:00:00
endDate	2015-10-17 00:00:00
animeNumMembers	
animeScore	7.35
animeUsers	15325
animeRank	
animePopularity	3158
animeDescription	Second season of The iDOLM@STER Cinderella Girls.
animeRelated	['The iDOLM@STER Cinderella Girls', 'The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.']
animeCharacters	['Shibuya, Rin', 'Kanzaki, Ranko', 'Futaba, Anzu', 'Anastasia', 'Shimamura, Uzuki', 'Honda, Mio', 'Moroboshi, Kirari', 'Maekawa, Miku', 'Producer', 'Jougasaki, Rika']
animeVoices	['Fukuhara, Ayaka', 'Uchida, Maaya', 'Igarashi, Hiromi', 'Uesaka, Sumire', 'Ohashi, Ayaka', 'Hara, Sayuri', 'Matsuzaki, Rei', 'Takamori, Natsumi', 'Takeuchi, Shunsuke', 'Yamamoto, Nozomi']
animeStaff	[['Toba, Yousuke', 'Producer'], ['Fukushima, Yuuichi', 'Producer'], ['Takao, Noriko', 'Director, Series Composition'], ['Fujita, Akiko', 'Sound Director']]
