animeTitle	b'Yatterman Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	143
animeRank	
animePopularity	
animeDescription	"b'Two extended specials.\nThe first one parodies Monta Mino, a famous real life Japanese entertainer. The second one parodies the US television show ""24"".\n'"
animeRelated	[b'Yatterman']
animeCharacters	[b'Mino, Monichi']
animeVoices	[b'\nMino, Monta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUemura, Yutaka\n\nEpisode Director\n\n']
