animeTitle	Strange+
animeType	TV
animeNumEpisode	12
releaseDate	2014-01-10 00:00:00
endDate	2014-03-28 00:00:00
animeNumMembers	29621
animeScore	5.99
animeUsers	11624
animeRank	8673
animePopularity	3311
animeDescription	"Kou comes to a slum neighborhood in search of his elder brother Takumi and finds him to have become the head of a private detective firm. Kou is drafted by Takumi to do errands and chores in the detective firm, and they come to meet various interesting people...

(Source: MAL News)"
animeRelated	['Strange+', 'Shin Strange+', 'Strange+ Special']
animeCharacters	['Takumi', 'Miwa', 'Kou', 'Masamune', 'Kyouya', 'Kiyoko', 'Rusty Nail', 'Kaori', 'Dorothy', 'Mera']
animeVoices	['Fukuyama, Jun', 'Yukino, Satsuki', 'Seki, Tomokazu', 'Okiayu, Ryoutarou', 'Saiga, Mitsuki', 'Terasaki, Ayano', 'Nagahiro, Shoko', 'Hatano, Wataru', 'Kawata, Taeko', 'Konishi, Katsuyuki']
animeStaff	[['Nishikawa, Takashi', 'Director, Screenplay'], ['Kitamura, Junichi', 'Episode Director, Animation Director'], ['Nagai, Shinpei', 'Episode Director, Animation Director'], ['Fukuyama, Jun', 'Theme Song Performance']]
