animeTitle	Rainbow Sentai Robin
animeType	TV
animeNumEpisode	48
releaseDate	1966-04-23 00:00:00
endDate	1967-03-24 00:00:00
animeNumMembers	672
animeScore	6.02
animeUsers	110
animeRank	8571
animePopularity	12166
animeDescription	"A squadron of robots defends the planet against alien invaders. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Bell', 'Wolf']
animeVoices	['Nakamura, Keiko', 'Sakurai, Eiichi']
animeStaff	[['Hattori, Kouichi', 'Theme Song Composition, Theme Song Arrangement, Music'], ['Miyazaki, Hayao', 'Key Animation'], ['Ishinomori, Shoutarou', 'Original Creator'], ['Ioka, Masahiro', 'Background Art']]
