animeTitle	Tantei Opera Milky Holmes Dai 2 Maku
animeType	TV
animeNumEpisode	12
releaseDate	2012-01-05 00:00:00
endDate	2012-03-22 00:00:00
animeNumMembers	
animeScore	7.21
animeUsers	7031
animeRank	
animePopularity	4300
animeDescription	Second season of Tantei Opera Milky Holmes.
animeRelated	['Tantei Opera Milky Holmes', 'Tantei Opera Milky Holmes: Alternative', 'Futari wa Milky Holmes']
animeCharacters	['Shellingford, Sherlock', 'Burton, Hercule', 'Glauca, Cordelia', 'Mystere, Henriette', 'Yuzurizaki, Nero', 'Akechi, Kokoro', 'Nijuuri, Kai', 'Tooyama, Saku', 'Nezu, Jirou', 'Coron']
animeVoices	['Mimori, Suzuko', 'Sasaki, Mikoi', 'Kitta, Izumi', 'Akesaka, Satomi', 'Tokui, Sora', 'Nanjou, Yoshino', 'Kishio, Daisuke', 'Tamura, Yukari', 'Shimono, Hiro', 'Matsuoka, Yuki']
animeStaff	[['Moriwaki, Makoto', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Ookubo, Masao', 'Episode Director, Storyboard, Key Animation'], ['Satou, Masafumi', 'Episode Director, Storyboard']]
