animeTitle	b'Bakumatsu no Spasibo'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	315
animeRank	
animePopularity	
animeDescription	b'Based on the real life events around Yevfimy Vasilyevich Putyatin, a Russian admiral noted for his diplomatic missions to Japan and China, and the signing of the Treaty of Shimoda in 1855.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Putyatin, Yevfimy Vasilyevich']
animeVoices	[b'\nKatou, Seizou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDezaki, Satoshi\n\nScript\n\n']
