animeTitle	Ladies versus Butlers!
animeType	TV
animeNumEpisode	12
releaseDate	2010-01-05 00:00:00
endDate	2010-03-23 00:00:00
animeNumMembers	189427
animeScore	6.6
animeUsers	94214
animeRank	5599
animePopularity	945
animeDescription	Hino Akiharu lost his parents when he was small and was adopted into his uncle's family. He didn't want to be a burden on his uncle's family and decides to enter a free boarding school as a butler, Hakureiryou high school. However, his delinquent boy-like appearance frightens the girls, who make up the majority of the students. Unable to get along with the classmates, Akiharu meets his childhood crush Saikyou Tomomi. 
animeRelated	['Ladies versus Butlers!', 'Ladies versus Butlers! Specials', 'Ladies versus Butlers! Tokuten Disc Music Clip']
animeCharacters	['Flameheart, Selnia Iori', 'Hino, Akiharu', 'Saikyou, Tomomi', 'Daichi, Kaoru', 'Shikikagami, Sanae', 'Khadim, Ayse', 'Hedyeh', 'Tenjouji, Kaede', 'Ousawa, Mimina', 'Kazamatsuri, Toichiro']
animeVoices	['Nakahara, Mai', 'Okitsu, Kazuyuki', 'Kawasumi, Ayako', 'Kugimiya, Rie', 'Koshimizu, Ami', 'Hanazawa, Kana', 'Tomatsu, Haruka', 'Ise, Mariya', 'Hidaka, Rina', 'Kawada, Shinji']
animeStaff	[['Nakayama, Nobuhiro', 'Producer'], ['Ootsuki, Atsushi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kamitsubo, Ryouki', 'Episode Director, Storyboard']]
