animeTitle	Kimi ga Nozomu Eien: Next Season
animeType	OVA
animeNumEpisode	4
releaseDate	2007-12-21 00:00:00
endDate	2008-12-19 00:00:00
animeNumMembers	
animeScore	6.93
animeUsers	13860
animeRank	
animePopularity	3464
animeDescription	"After Haruka Suzumiya got out from the hospital from her three years of coma. She moved back to with her parents and continued to date Takayuki Narumi. She wanted to see her old friend Mitsuki Hayase who Takayuki Narumi dated while she was in coma.

(Source: ANN)"
animeRelated	['Kimi ga Nozomu Eien']
animeCharacters	['Suzumiya, Haruka', 'Narumi, Takayuki', 'Hayase, Mitsuki', 'Suzumiya, Akane', 'Daikuuji, Ayu', 'Sakaki, Chizuru', 'Tamano, Mayu', 'Kouzuki, Motoko', 'Sakiyama, Kenzou', 'Hoshino, Fumio']
animeVoices	['Kuribayashi, Minami', 'Taniyama, Kishou', 'Takahashi, Chiaki', 'Mizuhashi, Kaori', 'Asai, Kiyomi', 'Kurata, Masayo', 'Oka, Kazuo', 'Hitomi']
animeStaff	[['Takayama, Hideki', 'Director'], ['Kuribayashi, Minami', 'Theme Song Performance'], ['Age', 'Original Creator'], ['Yamamoto, Yuuzou', 'In-Between Animation']]
