animeTitle	Jewelpet: Attack Travel!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14570
animeDescription	"Ruby, Garnet, and the other familiar, jewel-eyed Jewelpet characters are suddenly going on a school trip with the teacher Iruka to China's Sichuan Province. However, there is something odd about the tour conductor, driver, and guide on their sightseeing bus as it heads towards its true destination.

(Source: ANN)"
animeRelated	['Jewelpet', 'Kukuriraige: Sanseitai Denki']
animeCharacters	['Ruby', 'Sapphie', 'Labra', 'Garnet', 'Rald']
animeVoices	['Saitou, Ayaka', 'Sasaki, Nozomi', 'Sawashiro, Miyuki', 'Hirano, Aya', 'Tsuchiya, Mayumi']
animeStaff	[['Negishi, Hiroshi', 'Director'], ['Abe, Shuuhei', 'Sound Director'], ['Satou, Fumikazu', 'Storyboard'], ['Nozaki, Hiroki', 'Sound Effects']]
