animeTitle	Be-Boy Kidnapp'n Idol
animeType	OVA
animeNumEpisode	1
releaseDate	1989-12-22 00:00:00
endDate	
animeNumMembers	
animeScore	5.51
animeUsers	4193
animeRank	
animePopularity	5701
animeDescription	"Kazuya is a 16-year-old, popular idol singer who has loads of female fans. Other than rehearse or sign autographs, he plays video games with his friend Akihiko. Akihiko is more violent than sweet toward Kazuya, but he is protective of him despite the many arguments they may get into. Akihiko later on confesses his love to Kazuya.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Kudo, Akihiko', 'Shinohara, Kazuya', 'Kudo, Ryuuji', 'Umiura, Kou']
animeVoices	['Kusao, Takeshi', 'Sasaki, Nozomu', 'Ikeda, Shuuichi', 'Hayami, Show']
animeStaff	[['Yatagai, Kenichi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Onda, Naoyuki', 'Character Design'], ['Takatou, Kazushige', 'Art Director']]
