animeTitle	Maware Migi, Nigerunda
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17464
animeDescription	Music video for the song Maware Migi, Nigerunda by collaborative unit mishmash*Julie Watai. The same video was used for the English cover of the song titled Do a 180 released on the same day. The video was made by Yoriko Mizushiri and Marie Matsunaga.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
