animeTitle	b'A-Ko The Versus'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	2033
animeRank	
animePopularity	
animeDescription	b'A-ko and B-ko are bounty hunters in an untamed world. When a young heiress, C-ko, falls out of the sky and into their hair, they find themselves battling space pirates and galactic police. Turns out the high-pitched, hungry C-ko holds a secret\xe2\x80\x94the spirit of an ancient evil\xe2\x80\x94and is the center of a plot to destroy the universe!'
animeRelated	[b'Project A-Ko']
animeCharacters	"[b'Magami, Eiko', b'Daitokuji, Biko', b'Kotobuki, Shiiko', b'Gail', b'Liza', b'Maruten', b'Grash', b""C-ko's Servant"", b""C-ko's Father""]"
animeVoices	[b'\nItou, Miki\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nTomizawa, Michie\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nShimazu, Saeko\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nTakemura, Hiroshi\nJapanese\n', b'\nSaka, Osamu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHonda, Yasunori\n\nSound Director\n\n', b'\nNishijima, Katsuhiko\n\nStoryboard\n\n', b'\nKawai, Kenji\n\nMusic\n\n', b'\nOhira, Shinya\n\nKey Animation\n\n']
