animeTitle	Binan Koukou Chikyuu Boueibu LOVE! LOVE! LOVE!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	2585
animeRank	
animePopularity	5871
animeDescription	The older boys are graduating school and recount their memories together. The next day everyone defends the graduation ceremony against Zundar and Dadacha's Second Button Monster but Yumoto struggles using his love power.
animeRelated	['Binan Koukou Chikyuu Bouei-bu Love! Novel!', 'Binan Koukou Chikyuu Boueibu LOVE! LOVE!', 'Binan Koukou Chikyuu Boueibu Happy Kiss!']
animeCharacters	['Yufuin, En', 'Hakone, Yumoto', 'Zaou, Ryuu', 'Kinugawa, Atsushi', 'Naruko, Io', 'Wombat', 'Gero, Akoya', 'Kusatsu, Kinshirou', 'Beppu, Akihiko', 'Beppu, Haruhiko']
animeVoices	['Umehara, Yuuichirou', 'Yamamoto, Kazutomi', 'Masuda, Toshiki', 'Nishiyama, Koutarou', 'Shirai, Yuusuke', 'Mugihito', 'Terashima, Takuma', 'Kamiya, Hiroshi', 'Koumoto, Keisuke', 'Murakami, Yoshiki']
animeStaff	[['Takamatsu, Shinji', 'Director, Sound Director'], ['Yokote, Michiko', 'Script'], ['Umehara, Yuuichirou', 'Theme Song Performance, Inserted Song Performance'], ['Masuda, Toshiki', 'Theme Song Performance, Inserted Song Performance']]
