animeTitle	Eiga Daisuki Pompo-san
animeType	Special
animeNumEpisode	1
releaseDate	2018-09-27 00:00:00
endDate	
animeNumMembers	688
animeScore	5.48
animeUsers	158
animeRank	10426
animePopularity	12217
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Eiga Daisuki Pompo-san', 'Eiga Daisuki Pompo-san (Movie)']
animeCharacters	['Fini, Gene', 'Pomponette, Joelle Davidovich', 'Woodward, Nathalie']
animeVoices	[]
animeStaff	[['Sugitani, Shougo', 'Original Creator']]
