animeTitle	b'Itsudatte My Santa!'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.94
animeUsers	6740
animeRank	
animePopularity	
animeDescription	b'Mai, a Santa in training, appears in front of an unlucky boy named Santa on Christmas Eve, promising him that she will make him happy for one night. '
animeRelated	[b'Itsudatte My Santa!']
animeCharacters	[b'Mai', b'Santa', b'Shirley', b'MaiMai', b'Saito, Minako', b'Noel']
animeVoices	[b'\nHirano, Aya\nJapanese\n', b'\nKamei, Jun\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nChiba, Saeko\nJapanese\n', b'\nSakurai, Tomo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCook, Justin\n\nProducer\n\n', b'\nNakamura, Noriyuki\n\nDirector\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nVale, Eric\n\nScript\n\n']
