animeTitle	Kikou Ryohei Mellowlink
animeType	OVA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	2281
animeRank	
animePopularity	5813
animeDescription	"As the sole survivor from a squad that was sacrificed and hung out as scapegoats for embezzlement of military resources at the end of the 100 years war, Mellowlink Arity is out for revenge.

Carrying the dogtags of his deceased comrades and armed with a dated anti AT rifle, he swears to hunt down and exact revenge on the corrupt officers that betrayed his squad, and maybe even uncover the truth behind the plot as well."
animeRelated	['Soukou Kihei Votoms']
animeCharacters	['Arity, Mellowlink', 'Carradine, Keak', 'Ramon, Lulucy', 'Boil, Major', 'Dockmaan', 'Snook', 'von Helmechion, Oscar', 'Numerikov', 'Bolf', 'Fox, Galvin']
animeVoices	['Matsumoto, Yasunori', 'Ootsuka, Akio', 'Tamagawa, Sakiko', 'Kanemoto, Shingo', 'Nagai, Ichiro', 'Katou, Seizou', 'Saka, Osamu', 'Yamadera, Kouichi', 'Naya, Rokurou']
animeStaff	[['Kanda, Takeyuki', 'Director, Storyboard'], ['Watanabe, Shinichiro', 'Episode Director'], ['Takamatsu, Shinji', 'Episode Director, Storyboard'], ['Imanishi, Takashi', 'Episode Director, Storyboard']]
