animeTitle	b'Gonfu Tu Yu Cai Bao Gou'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A young cartoonist at home creates on paper a smart rebel Bunny and a smug loyal Doggy. Capturing the Bunny then becomes the Cartoonist's and the Doggy's impossible mission in life that goes on and on, chasing through books, fighting mental monsters, joining aliens, controlling giants, failure after failure. The arena is set for kung fu extravaganzas and witty creative adventures!\n\n(Source: Kung Fu Bunny Official Youtube)"""
animeRelated	[b'Gonfu Tu Yu Cai Bao Gou 2nd Season', b'Shaolin Tu Yu Wudang Gou', b'Tuzi Nali Pao', b'Cai Bao Gou Da Fanji']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
