animeTitle	b'Teekyuu 6 Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	1278
animeRank	
animePopularity	
animeDescription	b'Unaired specials included in the Blu-ray and DVD release.'
animeRelated	[b'Teekyuu 6']
animeCharacters	[b'Bandou, Marimo', b'Shinjou, Kanae', b'Takamiya, Nasuno', b'Oshimoto, Yuri', b'Satou, Kurumi', b'Tanaka, Kinako']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nItagaki, Shin\n\nDirector, Character Design\n\n', b'\nPiyo\n\nOriginal Character Design\n\n', b'\nTerada, Tsugeo\n\nOriginal Creator\n\n']
