animeTitle	Tomato Confit
animeType	Movie
animeNumEpisode	1
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17694
animeDescription	"There once lived two brothers in a town. The elder lived alone. The younger lived with his parents. They did not get along well, did neither badly. They called each other occasionally. The elder one was impatient and emotional and does nothing but work. The younger one goes steadily his way. One day the elder brother’s face turned into a tomato…

(Source: Geidai Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
