animeTitle	b'Tobidase!! Buddy-kun'
animeType	b'ONA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Parody shorts of Future Card Buddyfight DDD released only on CoroCoro Comic's official YouTube channel. Similar shorts are shown before each episode of Future Card Buddyfight DDD, but those are included in that main anime's entry."""
animeRelated	[b'Future Card Buddyfight Triple D']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
