animeTitle	b'Oppai no Ouja 48'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	3188
animeRank	
animePopularity	
animeDescription	"b'The other day, when I was reading an adult book, I thought, ""I can tell whose breasts they are by just looking at them. Well, am I a king of oppai?"" However, there was no way to prove it.... But one day, I receive a letter and it includes a bunch of free sex tickets! Also, the reverse side of each ticket has the photo of someone\'s breasts. When I\'m confused, a girl, Nil, appears in front of me. According to her, I\'m qualified to take part in a game. It seems the tickets aren\'t fake. My mission is to look for a girl who\'s got the same breasts printed on the ticket. Like this, my search for oppai begins....\n\n(Source: ErogeShop)'"
animeRelated	[b'Oppai no Ouja 48']
animeCharacters	[b'Himeyama, Matsuri', b'Nihru', b'Sumika', b'Ikeguchi, Kaho', b'Otsu, Rukyo', b'Hayakawa, Sachie']
animeVoices	[b'\nKobayashi, Maki\nJapanese\n', b'\nAoba, Ringo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Kotaro\n\nProducer\n\n', b'\nRaika, Ken\n\nDirector\n\n', b'\nNakagawa, Tatsuto\n\nSound Director\n\n', b'\nShinkai, Kouki\n\nEditing\n\n']
