animeTitle	Girls & Panzer Movie Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	8803
animeRank	
animePopularity	3996
animeDescription	Specials included with the Blu-ray and DVD releases of Girls & Panzer Movie. Arisu War! (愛里寿・ウォー！) takes place after the events of the movie and Akiyama Yukari no Sensha Kouza (秋山優花里の戦車講座) are another two standard Yukari tank corner explanation videos.
animeRelated	['Girls & Panzer Movie', 'Girls & Panzer: Saishuushou Part 1']
animeCharacters	['Nishizumi, Miho', 'Shimada, Arisu', 'Akiyama, Yukari', 'Reizei, Mako', 'Anzai, Chiyomi', 'Matsumoto, Riko', 'Isuzu, Hana', 'Takebe, Saori', 'Kadotani, Anzu', 'Kawashima, Momo']
animeVoices	['Fuchigami, Mai', 'Taketatsu, Ayana', 'Nakagami, Ikumi', 'Iguchi, Yuka', 'Yoshioka, Maya', 'Moriya, Satomi', 'Ozaki, Mami', 'Kayano, Ai', 'Fukuen, Misato', 'Ueda, Kana']
animeStaff	[]
