animeTitle	Kaibutsu-kun
animeType	TV
animeNumEpisode	49
releaseDate	1968-04-21 00:00:00
endDate	1969-03-23 00:00:00
animeNumMembers	1077
animeScore	6.47
animeUsers	335
animeRank	6319
animePopularity	10957
animeDescription	"The prince of Kaibutsu Land, Kaibutsu-kun, decides to go to the human world as part of his training to become the King.

(Source: ANN)"
animeRelated	['Kaibutsu-kun (1980)', 'Kaibutsu-kun: Suna Majin wo Yattsukero no Maki / Kaibutsu-kun to Haniwa Kaishin no Maki']
animeCharacters	['Kaibutsu, Tarou', 'Franken', 'Dracula', 'Doctor Noh', 'Ookami Otoko', 'Ichikawa, Hiroshi', 'Kaiko-chan', 'Ichikawa, Utako']
animeVoices	['Imanishi, Masao', 'Nagai, Ichiro']
animeStaff	[['Oosumi, Masaaki', 'Episode Director'], ['Suzuki, Shinichi', 'Episode Director'], ['Namie, Shima', 'Script'], ['Fujiko, Fujio F.', 'Original Creator']]
