animeTitle	Eyedrops Episode 0
animeType	ONA
animeNumEpisode	1
releaseDate	2016-09-05 00:00:00
endDate	
animeNumMembers	424
animeScore	5.1
animeUsers	165
animeRank	11294
animePopularity	13421
animeDescription	"Episode 0 explains the setting: the planet EYE, light-years from Earth. The planet has the ability ""to see things,"" but is commonly assailed by enemies. Protecting the planet from these enemies is the group of girls known as ""Eyedrops."" The video also explains how the human eye works. 

(Source: ANN)"
animeRelated	['Eyedrops']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
