animeTitle	Wake Up, Girls! Beyond the Bottom
animeType	Movie
animeNumEpisode	1
releaseDate	2015-12-11 00:00:00
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	2708
animeRank	
animePopularity	5961
animeDescription	Second movie sequel of Wake Up, Girls!.
animeRelated	['Wake Up, Girls! Seishun no Kage', 'Wake Up, Girls! no Miyagi PR Yarasete Kudasai!', 'Wake Up, Girls! Shin Shou']
animeCharacters	['Shimada, Mayu', 'Okamoto, Miyu', 'Katayama, Minami', 'Nanase, Yoshino', 'Kikuma, Kaya', 'Hisami, Nanami', 'Hayashida, Airi', 'Tange, Junko', 'Oota, Kuniyoshi', 'Yoshikawa, Megumi']
animeVoices	['Yoshioka, Mayu', 'Takagi, Miyu', 'Tanaka, Minami', 'Aoyama, Yoshino', 'Okuno, Kaya', 'Yamashita, Nanami', 'Eino, Airi', 'Hidaka, Noriko', 'Shimono, Hiro', 'Tsuda, Minami']
animeStaff	[['Itagaki, Shin', 'Producer'], ['Satomi, Tetsurou', 'Producer'], ['Yamamoto, Yutaka', 'Director, Episode Director, Storyboard, Theme Song Lyrics, Original Creator'], ['Kikuta, Hiromi', 'Sound Director']]
