animeTitle	b'Chizu no Nai Bouken'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	145
animeRank	
animePopularity	
animeDescription	"b"" The video centers on a woman named Miki and a man named Kazuki, who are both struggling at their separate jobs. Miki's bakery isn't getting business, and there is something missing from her desserts. Kazuki is working on a report related to curry for his company, but a coworker tells him he has the wrong approach to the project. After following his coworker around to learn his secret, Kazuki joins his coworker to go to a pachinko parlor and sushi shop. Meanwhile Miki and her friend also travel around the city to a fashion show, the same pachinko parlor, and a restaurant.\n\nAfter talking with his coworker, Kazuki remembers drawing a red sky as a child and not worrying that he was different from other people. Miki's friend tells her that people have to be brave to come up with original ideas. Miki then remembers a time when she watched her father shoveling snow as a child. At that time, her father told her that people have to do bothersome things in order to persevere through the struggle and accomplish something.\n\nMiki experiments with different recipes, and Kazuki does field research. After channeling their creativity and originality, they are both able to succeed in their professions. \n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Kazuki', b'Miki']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Junichi\n\nDirector, Episode Director, Storyboard, Editing\n\n', b'\nTakei, Aya\n\nScript\n\n', b'\nNobori, Haruko\n\nColor Design\n\n', b'\nSadakata, Kikuko\n\nCharacter Design\n\n']
