animeTitle	b'Ganbare! Oden-kun'
animeType	b'TV'
animeNumEpisode	102
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day.\n\n(Source: ANN)"""
animeRelated	[b'Oden-kun']
animeCharacters	[b'Oden-kun']
animeVoices	[b'\nHonjou, Manami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakata, Masahiro\n\nDirector, Character Design\n\n', b'\nNaya, Ryousuke\n\nSound Director\n\n', b'\nFranky, Lily\n\nOriginal Creator\n\n', b'\nAbe, Ryuudai\n\nMusic\n\n']
