animeTitle	Tetsujin 28-gou: Hakuchuu no Zangetsu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	264
animeRank	
animePopularity	11474
animeDescription	"This theatrical version based on the manga by Yokoyama Mitsuteru, deals with the genius boy detective Kaneda Shotaro and his giant robot, Tetsujin 28, set in Tokyo ten years after the end of the Second World War.

Shotaro's missing brother appears as a a new character who was trained as a pilot of the soldier robot Tetsujin which Japan had created for the Second World War. However, with the end of the war, there was nothing left for him but a peaceful Japan. In the meantime, ""Destruction Bombs"" are found in many places in Tokyo. The bombs were developed by Professor Kaneda, the creator of Tetsujin 28 and Shotaro's father, as the ultimate weapons to protect the mainland. If the bombs explode, Tokyo will be reduced to ashes."
animeRelated	['Tetsujin 28-gou (2004)']
animeCharacters	['Kaneda, Shoutarou', 'Murasame, Kenji', 'Ootsuka, Chief', 'Shikishima, Professor', 'Murasame, Ryuusaku', 'Takamizawa, Ahiru']
animeVoices	[]
animeStaff	[['Imagawa, Yasuhiro', 'Director, Script, Storyboard'], ['Yokoyama, Mitsuteru', 'Original Creator'], ['Nakamura, Takashi', 'Character Design'], ['Seyama, Takeshi', 'Editing']]
