animeTitle	Heartful Maman The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2017-10-27 00:00:00
endDate	
animeNumMembers	7978
animeScore	6.75
animeUsers	3534
animeRank	
animePopularity	5825
animeDescription	Mao-kun is an ordinary high schooler-looking guy to the naked eye. What isn't ordinary in him though, is his family. His mother died when he was little, and his dad raised him alone since then. Because of the lack of motherly love, Mao-kun slowly became scared of women, also known as gynophobia. Suddenly, his dad remarries and give the new mother permission to fulfill Mao-kun's desire of motherly love—maybe a bit too much love.
animeRelated	[]
animeCharacters	['Arima, Shiori', 'Kinosaki, Mao', 'Kurokawa, Mai', 'Kinosaki, Hajime']
animeVoices	[]
animeStaff	[['Hayakawa, Naomi', 'Director'], ['AliceSoft', 'Original Creator']]
