animeTitle	Black Jack 21
animeType	TV
animeNumEpisode	17
releaseDate	2006-04-10 00:00:00
endDate	2006-09-04 00:00:00
animeNumMembers	
animeScore	7.56
animeUsers	4275
animeRank	
animePopularity	4998
animeDescription	"No direct-relation sequel to original Black Jack. Black Jack attempts to find out the conspiracy, of why he was involved in the bombfield accident that killed his mother, while he uncovers secrets of Organization and Project ""Noir"", which, his father and other famous doctors were involved in...

"
animeRelated	['Black Jack', 'Black Jack (TV)']
animeCharacters	['Hazama, Kuroo', 'Pinoko', 'Doctor Kiriko', 'Hosuke, Sharaku', 'Chiyoko, Wato', 'Lamp, Acetylene', 'Zephyrus', 'Shirabyoshi, Yasuhiko', 'Gil', 'Largo']
animeVoices	['Ootsuka, Akio', 'Hayami, Show', 'Morita, Junpei', 'Nakamura, Chie']
animeStaff	[['Kuwahara, Satoshi', 'Director'], ['Tezuka, Makoto', 'Director'], ['Shimatani, Hitomi', 'Theme Song Performance'], ['EXILE', 'Theme Song Performance']]
