animeTitle	Sore Ike! Anpanman: Baikinman vs. Baikinman!?
animeType	Movie
animeNumEpisode	1
releaseDate	2009-07-04 00:00:00
endDate	
animeNumMembers	231
animeScore	
animeUsers	
animeRank	13463
animePopularity	15544
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Beret-chan', 'Batako-san', 'Horrorman', 'Kabao-kun', 'Pyonkichi']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Niiyama, Chiharu', 'Sakuma, Rei', 'Kimotsuki, Kaneta', 'Hara, Eriko']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Yamada, Chiaki', 'Sound Director'], ['Maeda, Minoru', 'Character Design'], ['Yanase, Takashi', 'Original Creator']]
