animeTitle	b'Sidonia no Kishi Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	2633
animeRank	
animePopularity	
animeDescription	b'A recap of the first season of Sidonia no Kishi with additional scenes and re-edited sound effects. '
animeRelated	[b'Sidonia no Kishi']
animeCharacters	[b'Shinatose, Izana', b'Hoshijiro, Shizuka', b'Tanikaze, Nagate', b'Kobayashi', b'Hiyama, Lala', b'Midorikawa, Yuhata', b'Ittan, Samari', b'Sasaki', b'Honoka, Ren', b'Kunato, Norio']
animeVoices	[b'\nToyosaki, Aki\nJapanese\n', b'\nSuzaki, Aya\nJapanese\n', b'\nOosaka, Ryouta\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nArai, Satomi\nJapanese\n', b'\nKanemoto, Hisako\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nHonda, Takako\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShizuno, Koubun\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nMurai, Sadayuki\n\nScript, Series Composition\n\n', b'\nNihei, Tsutomu\n\nOriginal Creator\n\n']
