animeTitle	Tooryanse
animeType	Music
animeNumEpisode	1
releaseDate	2014-01-14 00:00:00
endDate	
animeNumMembers	676
animeScore	5.91
animeUsers	397
animeRank	8995
animePopularity	12163
animeDescription	Another music video from Kousuke Sugimoto and Handsome Kenya. The title of the song comes from the name of an old children's tune sometimes played at crosswalks in Japan. After the tune plays, Handsome Kenya is pulled into a beautiful and strange world.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
