animeTitle	Minihams no Kekkon Song
animeType	Music
animeNumEpisode	1
releaseDate	2002-12-04 00:00:00
endDate	
animeNumMembers	337
animeScore	5.4
animeUsers	156
animeRank	10665
animePopularity	14132
animeDescription	"""Minihams no Kekkon Song"" is the seventh single of the subgroup Minimoni, their second under the alias Minihams, and their last single with Mari Yaguchi. In this video, the four members appears as hamster versions of themselves."
animeRelated	['Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess', 'Minihams no Ai no Uta']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
