animeTitle	b'Zokuzoku Mura no Obake-tachi'
animeType	b'OVA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A succession of tales taken from the 1.3-million-selling children's books by Akiko Sueyoshi and Mako Taruishi, including Ram the Mummy, Obatan the Witch, The Childish Goblin, and Kitten Ghosts Goo, Soo and Pea.\n\n(Source: The Anime Encyclopedia)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
