animeTitle	Toshi Densetsu Monogatari Hikiko
animeType	OVA
animeNumEpisode	1
releaseDate	2008-08-08 00:00:00
endDate	
animeNumMembers	4937
animeScore	5.91
animeUsers	1616
animeRank	8996
animePopularity	7030
animeDescription	"Story: 3D CG-animated movie about Hikiko, who is a character of a Japanese urban legend. She was violently treated all the time by her parents and classmates at the elementary school and she's extremely ugly due to the constant violence. To revenge, she caught students from elementary school and drag them on the floor until they're badly mutilated.

When Revsersing Hikiko's full name 森妃姫子(Mori Hikiko) gives 引き籠もり(hikikomori), which means Social Withdrawal."
animeRelated	[]
animeCharacters	['Mori, Hikiko']
animeVoices	[]
animeStaff	[['Chida, Kazuhiro', 'Producer, Sound Director, Music'], ['Kishi, Kaisei', 'Director, Script, Creator']]
