animeTitle	Qiang Niang
animeType	ONA
animeNumEpisode	12
releaseDate	2017-08-18 00:00:00
endDate	2017-10-27 00:00:00
animeNumMembers	739
animeScore	
animeUsers	
animeRank	12895
animePopularity	11924
animeDescription	"Qiang Niang mainly tells of the protagonist Carrie, who has lost her combat memories, searching for herself and the story of her final ""Awakening"". In the years between 2025 to 2030, a world war involving the entire world has resulted in the demise of half the world's population, and humanity has already lost control of the direction the war shall go in. In order to seize ultimate victory, war has gradually been turned into a battle without people, similar to a game. War has already become about Satellite lasers, Bomb drones, Intelligent AI, a battlefield between unmanned gun turrets and tanks... Then, there are also a group of young maidens who uses outdated firearms to engage in battle —— the Gun Girls."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
