animeTitle	Mizugumo Monmon
animeType	Movie
animeNumEpisode	1
releaseDate	2006-01-03 00:00:00
endDate	
animeNumMembers	3112
animeScore	6.5
animeUsers	783
animeRank	6142
animePopularity	8282
animeDescription	"The short film's main character is a water spider who seems to have fallen in love with a water strider. Though she is scared of him at first, the water strider soon gets used to the presence of the spider. 

(Source: Wikipedia) "
animeRelated	[]
animeCharacters	['Monmon']
animeVoices	[]
animeStaff	[['Miyazaki, Hayao', 'Director, Script'], ['Yonebayashi, Hiromasa', 'Key Animation'], ['Yasuda, Michiyo', 'Color Design'], ['Satou, Masako', 'Key Animation']]
