animeTitle	Mokke Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	772
animeRank	
animePopularity	9447
animeDescription	"Mokke Special Episodes:
1. Toorikaze (Passing Wind)
2. Mitsua Shigaeru "
animeRelated	['Mokke']
animeCharacters	['Hibara, Mizuki', 'Hibara, Shizuru', 'Hibara, Chitose', 'Ojii-chan', 'Obaa-chan']
animeVoices	['Mizuki, Nana', 'Kawasumi, Ayako', 'Mitsuishi, Kotono', 'Hori, Katsunosuke', 'Kyouda, Hisako']
animeStaff	[['Nishita, Masayoshi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Nagatsu, Haruko', 'Script'], ['Ike, Yoshihiro', 'Music']]
